번호,학과명,대출일자,입학년도,서명,출판년도,저자,출판사,청구기호
AJ1102761,경제학전공,20130723,2009,(새로 만든) 먼나라 이웃나라,2012,이원복,김영사,914.004 이66먼전개
AJ1104420,사학전공,20121208,2010,(새로 만든) 먼나라 이웃나라,2012,이원복,김영사,914.004 이66먼전개
AJ1100716,정치외교학전공,20111213,2006,(21세기) 먼나라 이웃나라,2004,이원복,김영사,914.004 이66먼
AJ1100952,정치외교학전공,20111004,2007,(21세기) 먼나라 이웃나라,2004,이원복,김영사,914.004 이66먼
AJ1102453,사회학전공,20120807,2009,새 먼나라 이웃나라,1998,이원복,김영사,914.004 이664먼새
AJ1106166,경제학전공,20110317,2011,새 먼나라 이웃나라,1998,이원복,김영사,914.004 이664먼새
AJ1107078,심리학전공,20131115,2012,이지 유럽,2010,최윤준,트래블북스 블루,914 이78최4개
AJ1105501,정치외교학전공,20120420,2010,이지 유럽,2010,최윤준,트래블북스 블루,914 이78최4개
AJ1105506,경제학전공,20131119,2010,(자신만만 세계여행) 유럽,2007,삼성출판사,삼성출판사,914 삼54유개5
AJ1102453,사회학전공,20120807,2009,유럽 100배 즐기기,2006,정기범,랜덤하우스중앙,910.202 정18유8
AJ1104575,경제학전공,20120817,2010,유럽 100배 즐기기,2004,정기범,랜덤하우스중앙,910.202 정18유
AJ1105029,심리학전공,20120718,2010,여행의 기술,2004,"Botton, Alain De",이레,910.01 B751aK정
AJ1100870,경제학전공,20110928,2007,여행의 기술,2004,"Botton, Alain De",이레,910.01 B751aK정
AJ1109644,사학전공,20131210,2013,역사란 무엇인가,2002,"Carr, Edward Hallet",까치,901.9 C311w개K김
AJ1109224,사학전공,20130903,2013,역사란 무엇인가,2002,"Carr, Edward Hallet",까치,901.9 C311w개K김
AJ1100702,사학전공,20130501,2006,역사란 무엇인가,2002,"Carr, Edward Hallet",까치,901.9 C311w개K김
AJ1106275,행정학전공,20140428,2011,역사란 무엇인가  -,1997,"Carr, E. H",계명대학교출판부,901 C311wK진
AJ1101926,행정학전공,20130401,2008,역사란 무엇인가  -,1997,"Carr, E. H",계명대학교출판부,901 C311wK진
AJ1101756,법학전공,20130610,2008,역사란 무엇인가  -,1993,"Carr, Edward H",청년사,901 C311wK곽개
AJ1103527,행정학전공,20130728,2009,서양 연극사 이야기,2008,"Barranger, Milly S",평민사,792.094 B268tK우개증
AJ1102608,심리학전공,20121123,2009,서양 연극사 이야기,2001,"Barranger, Milly S",평민사,792.094 B268tK우
AJ1105779,경제학전공,20110901,2011,서양 연극사 이야기,2001,"Barranger, Milly S",평민사,792.094 B268tK우
AJ1105334,경제학전공,20111208,2010,서양 연극사 이야기,2001,"Barranger, Milly S",평민사,792.094 B268tK우
AJ1105816,경제학전공,20110314,2011,서양 연극사 이야기,2001,"Barranger, Milly S",평민사,792.094 B268tK우
AJ1103527,행정학전공,20130728,2009,세계 연극사,2000,"Wilson, Edwin",한신문화사,792.09 W747LK김
AJ1100954,심리학전공,20120309,2007,세계 연극사,2000,"Wilson, Edwin",한신문화사,792.09 W747LK김
AJ1106095,경제학전공,20110419,2011,세계 연극사,2000,"Wilson, Edwin",한신문화사,792.09 W747LK김
AJ1100381,법학전공,20111227,2006,연극개론,2003,김익두,한국문화사,792.01 김68연3
AJ1104513,행정학전공,20140619,2010,연극개론,2003,"Watson, J. G",동인,792.01 W339dK김
AJ1109923,심리학전공,20140520,2014,연극개론,2003,"Brockett, Oscar G",한신,792.01 B864tK김수
AJ1100182,법학전공,20140630,2005,연극개론,2009,"Brockett, Oscar Gross",HS MEDIA,792.01 B864t4K김수
AJ1103274,정치외교학전공,20130603,2009,연극개론,2009,"Brockett, Oscar Gross",HS MEDIA,792.01 B864t4K김수
AJ1106005,경제학전공,20140530,2011,오페라로 배우는 역사와 문화,2010,고종환,푸른사상사,782.1 고75오
AJ1100962,법학전공,20140630,2007,오페라로 배우는 역사와 문화,2010,고종환,푸른사상사,782.1 고75오
AJ1100182,법학전공,20140630,2005,오페라로 배우는 역사와 문화,2010,고종환,푸른사상사,782.1 고75오
AJ1109833,경제학전공,20140411,2014,오페라로 배우는 역사와 문화,2010,고종환,푸른사상사,782.1 고75오
AJ1109923,심리학전공,20140520,2014,오페라로 배우는 역사와 문화,2010,고종환,푸른사상사,782.1 고75오
AJ1102359,사회학전공,20131128,2008,오페라로 배우는 역사와 문화,2010,고종환,푸른사상사,782.1 고75오
AJ1109368,심리학전공,20131127,2013,오페라로 배우는 역사와 문화,2010,고종환,푸른사상사,782.1 고75오
AJ1105242,경제학전공,20120427,2011,오페라로 배우는 역사와 문화,2010,고종환,푸른사상사,782.1 고75오
AJ1105816,경제학전공,20110330,2011,오페라로 배우는 역사와 문화,2010,고종환,푸른사상사,782.1 고75오
AJ1103620,심리학전공,20121021,2009,디자인의 이해,2005,민경우,미진사,745.4 민14디
AJ1110104,심리학전공,20140526,2014,서양건축사,2007,임석재,북하우스,720.94 임54기
AJ1102301,경제학전공,20140603,2008,서양건축사,2007,임석재,북하우스,720.94 임54기
AJ1109364,경제학전공,20140328,2013,서양건축사,2005,윤정근,기문당,720.94 서62윤
AJ1103527,행정학전공,20140422,2009,서양건축사,1997,"Klassen, Winand",大宇出版社,720.94 K63서K심
AJ1102679,경제학전공,20130521,2009,서양건축사,2003,"Klassen, Winand",아키그램,720.94 K63hK조개
AJ1105566,정치외교학전공,20140410,2010,서양건축사,2003,"Jordan, Furneaux R",技文堂,720.94 J82wK정
AJ1103527,행정학전공,20140512,2009,서양 건축 이야기,2004,빌 리제베로,한길아트,720.9 R595stK오
AJ1106979,심리학전공,20131106,2012,친환경건축의 이해,2003,함정도,기문당,720.47 함74친
AJ1109923,심리학전공,20141227,2014,광고천재 이제석,2010,이제석,학고재,659.1092 이74광
AJ1109422,심리학전공,20140111,2013,광고천재 이제석,2010,이제석,학고재,659.1092 이74광
AJ1105014,심리학전공,20120919,2011,광고천재 이제석,2010,이제석,학고재,659.1092 이74광
AJ1105029,심리학전공,20120516,2010,광고천재 이제석,2010,이제석,학고재,659.1092 이74광
AJ1107762,경제학전공,20120618,2012,광고천재 이제석,2010,이제석,학고재,659.1092 이74광
AJ1105950,사회학전공,20111128,2011,광고천재 이제석,2010,이제석,학고재,659.1092 이74광
AJ1107324,심리학전공,20140508,2012,광고심리학,2006,김완석,학지사,659.1019 김652광
AJ1109282,심리학전공,20140724,2013,광고심리학,2009,박은아,커뮤니케이션북스,659.1019 광15김
AJ1109389,심리학전공,20131209,2013,광고심리학,2009,박은아,커뮤니케이션북스,659.1019 광15김
AJ1105508,심리학전공,20120612,2010,광고심리학,2009,박은아,커뮤니케이션북스,659.1019 광15김
AJ1101658,심리학전공,20111202,2008,광고심리학,2009,박은아,커뮤니케이션북스,659.1019 광15김
AJ1109422,심리학전공,20140918,2013,인문학으로 광고하다,2009,박웅현,알마,659.1 박66인
AJ1105331,경제학전공,20140305,2010,인문학으로 광고하다,2009,박웅현,알마,659.1 박66인
AJ1105331,경제학전공,20140704,2010,생각하는 미친놈,2011,박서원,센추리원,659.1 박54생
AJ1109382,사회학전공,20140303,2013,생각하는 미친놈,2011,박서원,센추리원,659.1 박54생
AJ1100525,경제학전공,20111004,2006,소비자 행동론,2005,윤훈현,석정,658.8342 윤96소
AJ1103532,심리학전공,20110522,2009,소비자 행동론,2003,"Solomon, Michale R",브레인코리아,658.8342 S689c3K리
AJ1100119,경제학전공,20110614,2005,소비자행동론,2005,"Assael, Henry",한티미디어,658.8342 A844cK김
AJ1103448,경제학전공,20140414,2009,Consumer behavior,2007,"Schiffman, Leon G",Pearson Prentice Hall,658.834 S333c9
AJ1100525,경제학전공,20111206,2006,Consumer behavior,2007,"Schiffman, Leon G",Pearson Prentice Hall,658.834 S333c9
AJ1110012,정치외교학전공,20150123,2014,마케팅 불변의 법칙,1994,"Ries, Al",십일월출판사,658.8 R559TK박
AJ1105864,심리학전공,20150120,2011,마케팅 불변의 법칙,1994,"Ries, Al",십일월출판사,658.8 R559TK박
AJ1101365,경제학전공,20140430,2007,(Kotler의) 마케팅원리,2012,"Kotler, Philip",피어슨에듀케이션코리아,658.8 K87p14K안
AJ1101658,심리학전공,20140404,2008,Kotler의 마케팅 원리,2008,"Kotler, Philip",피어슨에듀케이션코리아,658.8 K87p12K안
AJ1101365,경제학전공,20140423,2007,Kotler의 마케팅 원리,2008,"Kotler, Philip",피어슨에듀케이션코리아,658.8 K87p12K안
AJ1103633,경제학전공,20121204,2009,Kotler의 마케팅 원리,2008,"Kotler, Philip",피어슨에듀케이션코리아,658.8 K87p12K안
AJ1102762,심리학전공,20110916,2009,Kotler의 마케팅 원리,2008,"Kotler, Philip",피어슨에듀케이션코리아,658.8 K87p12K안
AJ1101617,경제학전공,20120312,2008,Kotler의 마케팅 원리,2008,"Kotler, Philip",피어슨에듀케이션코리아,658.8 K87p12K안
AJ1103633,경제학전공,20120831,2009,Principles of marketing,2007,"Kotler,Philip",Pearson Prentice Hall,658.8 K87p12
AJ1109876,경제학전공,20140429,2014,(필립 코틀러의) 마케팅 A to Z,2003,"Kotler, Philip",세종연구원,658.8 K87mK홍
AJ1110114,사회학전공,20140428,2014,보랏빛 소가 온다,2004,"Godin, Seth",재인,658.8 G585pK남
AJ1102005,심리학전공,20121203,2008,품질경영론,2004,이순룡,法文社,658.562 이56품2
AJ1100119,경제학전공,20131022,2005,생산관리,2007,정충영,무역경영사,658.5 정85생2
AJ1110932,경제학전공,20141102,2012,생산운영관리,2007,"Stevenson, William J",한국맥그로힐,658.5 S848o9K강
AJ1105907,경제학전공,20130407,2011,생산운영관리,2007,"Stevenson, William J",한국맥그로힐,658.5 S848o9K강
AJ1103012,경제학전공,20110620,2009,생산운영관리,2007,"Stevenson, William J",한국맥그로힐,658.5 S848o9K강
AJ1102458,심리학전공,20130910,2009,Managing business process flows,2012,"Anupindi, Ravi",Prentice Hall,658.5 M266a3
AJ1105817,경제학전공,20121004,2011,Managing business process flows,2012,"Anupindi, Ravi",Prentice Hall,658.5 M266a3
AJ1100117,경제학전공,20120322,2005,Managing business process flows,2004,"Anupindi, Ravi",Pearson/Prentice Hall,658.5 M266a2
AJ1110932,경제학전공,20141102,2012,생산관리,2010,"Jacobs, Robert F",한경사,658.5 J17o12K김
AJ1105567,경제학전공,20140325,2010,무리뉴 그 남자의 기술,2013,한준,브레인스토어,658.4092 한76무
AJ1101861,경제학전공,20131029,2008,무리뉴 그 남자의 기술,2013,한준,브레인스토어,658.4092 한76무
AJ1100998,사학전공,20130405,2007,육일약국 갑시다,2007,김성오,북이십일,658.409 김54육
AJ1107125,사학전공,20140410,2012,경영정보시스템,2001,강신철,대경,658.4038011 강58경개
AJ1109882,행정학전공,20141212,2014,빅 데이터 비즈니스,2012,영목양개,더숲,658.4038 영35빅K천
AJ1108288,경제학전공,20140530,2011,빅데이터 혁명,2012,권대석,북이십일 21세기북스,658.4038 권23빅
AJ1109293,사회학전공,20131205,2013,빅데이터 혁명,2012,권대석,북이십일 21세기북스,658.4038 권23빅
AJ1107954,사회학전공,20140527,2012,경영정보시스템의 이해,2011,"Laudon, Kenneth C",피어슨에듀케이션코리아,658.4038 L372e9K백
AJ1105563,정치외교학전공,20140328,2010,경영과학,2008,형성우,형설,658.4034 형54경
AJ1101477,경제학전공,20120611,2008,(켈러의) 경영경제통계학,2009,"Keller, Gerald",THOMSON,658.4033 K29s8K이
AJ1100388,법학전공,20110927,2006,(켈러의) 경영경제통계학,2009,"Keller, Gerald",THOMSON,658.4033 K29s8K이
AJ1102352,법학전공,20110617,2008,(켈러의) 경영경제통계학,2006,"Keller, Gerald",톰슨코퍼레이션코리아,658.4033 K29s7K이
AJ1109273,행정학전공,20141008,2013,(최신) 경영과학,2004,박재흥,시그마프레스,658.403 박73경
AJ1107125,사학전공,20140613,2012,경영과학,2003,박순달,校友社,658.403 박56경
AJ1107125,사학전공,20140417,2012,(유비쿼터스) 경영과학,2005,김종수,博英社,658.403 김75경박
AJ1107125,사학전공,20140317,2012,계량경영학,2004,김상종,三英社,658.403 김52계2
AJ1107945,정치외교학전공,20141117,2012,계량경영학,2004,김상종,三英社,658.403 김52계2
AJ1106923,경제학전공,20140414,2012,경영과학,2012,"Hillier, Frederick S",한경사,658.403 H654i4K홍
AJ1102352,법학전공,20110613,2008,경영과학,2005,"Hillier, Frederick S",한경사,658.403 H654i2K노
AJ1100013,행정학전공,20140727,2001,기획의 정석,2013,박신영,세종서적,658.4012 박58기
AJ1102823,경제학전공,20140529,2009,기획의 정석,2013,박신영,세종서적,658.4012 박58기
AJ1101322,심리학전공,20130425,2007,비즈니스 모델의 탄생,2011,"Osterwalder, Alexander",타임비즈,658.4012 O85bK유
AJ1102823,경제학전공,20131112,2009,이케아 불편을 팔다,2013,"Jungbluth, Rudiger",미래의창,658.401 J95dK배
AJ1100153,경제학전공,20140616,2005,빅데이터 경영을 바꾸다,2012,함유근,삼성경제연구소,658.4 함66빅
AJ1105907,경제학전공,20120926,2011,조직행위론,2010,김주엽,경문사,658.4 조78김2
AJ1103633,경제학전공,20120413,2009,조직행동론,2004,이학종,法文社,658.4 이92조법
AJ1106194,경제학전공,20141210,2011,조직행동연구,2006,백기복,창민사,658.4 백18조4
AJ1105908,경제학전공,20120416,2011,조직행동,2002,이희영,경세원,658.4 박25조
AJ1103633,경제학전공,20120615,2009,조직행동,2002,이희영,경세원,658.4 박25조
AJ1106923,경제학전공,20140515,2012,Introduction to operations research,2008,"Hillier, Frederick S",McGraw-Hill,658.4 H654i9
AJ1103729,심리학전공,20131022,2010,경영과학,2007,"Hillier, Frederick S",한국맥그로힐,658.4 H654i8K김
AJ1103633,경제학전공,20140912,2009,SSAT 삼성직무적성검사,2011,에듀스 인재개발원,에듀스,658.31125 에26s
AJ1100647,심리학전공,20131118,2007,SSAT 삼성직무적성검사,2011,에듀스 인재개발원,에듀스,658.31125 에26s
AJ1108351,심리학전공,20130529,2011,SSAT 삼성직무적성검사,2011,에듀스 인재개발원,에듀스,658.31125 에26s
AJ1105553,정치외교학전공,20130523,2010,SSAT 삼성직무적성검사,2011,에듀스 인재개발원,에듀스,658.31125 에26s
AJ1100386,법학전공,20130328,2006,SSAT 삼성직무적성검사,2011,에듀스 인재개발원,에듀스,658.31125 에26s
AJ1100382,법학전공,20140714,2006,취업면접 기출질문 300,2013,표형종,진서원,658.31124 표94취
AJ1103149,경제학전공,20131210,2009,취업면접 기출질문 300,2013,표형종,진서원,658.31124 표94취
AJ1101365,경제학전공,20140903,2007,(이시한의) 취업 자기소개서 불패(不敗)노트,2011,이시한,랜덤하우스코리아,658.31124 이58취
AJ1102352,법학전공,20130527,2008,(이시한의) 취업 자기소개서 불패(不敗)노트,2011,이시한,랜덤하우스코리아,658.31124 이58취
AJ1100632,심리학전공,20131004,2006,(이시한의) 취업 자기소개서 불패(不敗)노트,2011,이시한,랜덤하우스코리아,658.31124 이58취
AJ1104106,정치외교학전공,20130506,2010,(이시한의) 취업 자기소개서 불패(不敗)노트,2011,이시한,랜덤하우스코리아,658.31124 이58취
AJ1105505,심리학전공,20120907,2010,면접의 정석,2006,예라고이미지전략연구소,예라고,658.31124 예292면
AJ1100188,법학전공,20140430,2005,면접의 정석,2008,서형준,부키,658.31124 서94면
AJ1100632,심리학전공,20120912,2006,면접의 정석,2008,서형준,부키,658.31124 서94면
AJ1110120,정치외교학전공,20141104,2014,기적의 자소서,2012,조민혁,조선에듀케이션,658.311 조38기
AJ1100188,법학전공,20140502,2005,(금융 리더를 꿈꾸는 20대를 위한) 금융권 취업 가이드,2011,신재민,국일미디어,658.311 신73금
AJ1102352,법학전공,20130603,2008,(금융 리더를 꿈꾸는 20대를 위한) 금융권 취업 가이드,2011,신재민,국일미디어,658.311 신73금
AJ1101761,법학전공,20140828,2008,(뽑고 싶어 안달 나게 하는) 자기소개서 작성법,2013,김세준,나비의활주로,658.311 김54자2013
AJ1105332,심리학전공,20141118,2010,(뽑고 싶어 안달 나게 하는) 자기소개서 작성법,2013,김세준,나비의활주로,658.311 김54자2013
AJ1100091,법학전공,20130930,2004,(뽑고 싶어 안달 나게 하는) 자기소개서 작성법,2011,김세준,나비의 활주로,658.311 김54자2
AJ1103069,경제학전공,20140321,2009,(어디에 취업하고 싶으세요?) 직무분석 가이드,2011,김소연,에듀크라운,658.306 김55직
AJ1100153,경제학전공,20140317,2005,(어디에 취업하고 싶으세요?) 직무분석 가이드,2011,김소연,에듀크라운,658.306 김55직
AJ1108296,행정학전공,20130430,2011,(어디에 취업하고 싶으세요?) 직무분석 가이드,2011,김소연,에듀크라운,658.306 김55직
AJ1103280,경제학전공,20130312,2009,(어디에 취업하고 싶으세요?) 직무분석 가이드,2011,김소연,에듀크라운,658.306 김55직
AJ1100388,법학전공,20130415,2006,조직행동론,2011,"Robbins, Stephen P",피어슨에듀케이션코리아,658.3 R636o14K이
AJ1110014,정치외교학전공,20140615,2014,조직행동론,2008,"Robbins, Stephen P",시그마프레스,658.3 R636e9K김
AJ1102983,정치외교학전공,20130502,2009,Understanding and managing organizational behavior,2012,"George, Jennifer M",Pearson Education,658.3 G348u6i
AJ1100333,법학전공,20130228,2006,Understanding and managing organizational behavior,2012,"George, Jennifer M",Pearson Education,658.3 G348u6i
AJ1104166,정치외교학전공,20141121,2010,Understanding and managing organizational behavior,2008,"George, Jennifer M",Pearson Prentice Hall,658.3 G348u5
AJ1108280,사학전공,20130903,2011,Understanding and managing organizational behavior,1999,"George, Jennifer M",Prentice-Hall,658.3 G348u3
AJ1110014,정치외교학전공,20140624,2014,카네기 인간관계론,2001,"Carnegie, Dale",카네기트레이닝 카네기연구소,658.3 C289hK최
AJ1100717,경제학전공,20130909,2006,카네기 인간관계론,2001,"Carnegie, Dale",카네기트레이닝 카네기연구소,658.3 C289hK최
AJ1107954,사회학전공,20141014,2012,재무관리,2010,박정식,다산,658.15 박74재3
AJ1101365,경제학전공,20141208,2007,(Ross의) 재무관리,2010,"Ross, Stephen A",한국맥그로힐,658.15 R826f9K박
AJ1103280,경제학전공,20110504,2009,(Ross의) 재무관리,2010,"Ross, Stephen A",한국맥그로힐,658.15 R826f9K박
AJ1105516,심리학전공,20141004,2010,재무관리,2006,"Ross, Stephen A",McGraw Hill,658.15 R826f7K박
AJ1105774,경제학전공,20121030,2011,재무관리,2006,"Ross, Stephen A",McGraw Hill,658.15 R826f7K박
AJ1106923,경제학전공,20130927,2012,스티브 잡스,2011,"Isaacson, Walter",민음사,658.0092 I73sK안
AJ1100119,경제학전공,20131211,2005,비즈니스 프로세스 경영,2006,"Anupindi, Ravi",석정,658 A636mK김
AJ1103071,경제학전공,20130528,2009,비즈니스 프로세스 경영,2006,"Anupindi, Ravi",석정,658 A636mK김
AJ1105906,경제학전공,20141013,2011,(K-IFRS) 중급 재무회계,2011,송인만,신영사,657.48 송68중3
AJ1107567,심리학전공,20141013,2012,IFRS 중급회계,2013,정운오,경문사,657.044 중17정4수증
AJ1107567,심리학전공,20141006,2012,(IFRS) 중급회계,2009,정운오,경문사,657.044 중17정
AJ1101365,경제학전공,20131122,2007,IFRS 중급회계,2012,신현걸,탐진,657.044 신94i3
AJ1105242,경제학전공,20120613,2011,IFRS 중급회계,2010,신현걸,탐진,657.044 신94i2
AJ1100052,경제학전공,20111027,2004,IFRS 중급회계,2009,김영덕,다임,657.044 김64i v.1
AJ1104998,경제학전공,20140508,2011,(스토리텔링으로 누구나 쉽게 배우는) 회계학 콘서트,2008,임총,한국경제신문 한경BP,657 임84교K박
AJ1107074,경제학전공,20141117,2012,(스토리텔링으로 누구나 쉽게 배우는) 회계학 콘서트,2008,임총,한국경제신문 한경BP,657 임84교K박
AJ1105242,경제학전공,20110829,2011,(스토리텔링으로 누구나 쉽게 배우는) 회계학 콘서트,2008,임총,한국경제신문 한경BP,657 임84교K박
AJ1109273,행정학전공,20140425,2013,회계 천재가 된 홍대리,2007,손봉석,다산북스,657 손45회
AJ1102352,법학전공,20111123,2008,회계 천재가 된 홍대리,2007,손봉석,다산북스,657 손45회
AJ1100117,경제학전공,20111121,2005,회계 천재가 된 홍대리,2007,손봉석,다산북스,657 손45회
AJ1105439,행정학전공,20120320,2010,회계 천재가 된 홍대리,2007,손봉석,다산북스,657 손45회
AJ1107396,경제학전공,20121009,2010,회계학원론,2011,김호중,창민사,657 김95회6
