,번호,학과명,대출일자,입학년도,서명,출판년도,저자,출판사,청구기호
3227,AJ1106039,약학전공,20110317,2009,분자생물학,2003,"Weaver, Robert Franklin",라이프사이언스,574.88 W363m2K박2
3232,AJ1111000,약학전공,20140304,2012,분자생물학,2006,"Malacinski, George M",월드사이언스,574.88 M236e4K심
3235,AJ1111029,약학전공,20140304,2012,분자생물학,2006,"Malacinski, George M",월드사이언스,574.88 M236e4K심
3236,AJ1111033,약학전공,20140304,2012,분자생물학,2006,"Malacinski, George M",월드사이언스,574.88 M236e4K심
3244,AJ1110999,약학전공,20140309,2012,분자생물학,2006,"Clark, David P",월드사이언스,574.88 C592mK안
3293,AJ1108576,약학전공,20130923,2011,유전자 클로닝 입문,2004,"Brown, T. A",월드 사이언스,574.87322 B881g4K강
3296,AJ1106822,약학전공,20120309,2010,유전자 클로닝 입문,2004,"Brown, T. A",월드 사이언스,574.87322 B881g4K강
3320,AJ1106822,약학전공,20120409,2010,세포학,2000,"Cooper, Geoffrey M",한우리,574.87 C776cK강
3321,AJ1110998,약학전공,20141211,2012,세포학,2006,"Cooper, Geoffrey M",월드사이언스,574.87 C776c3K전
3322,AJ1111012,약학전공,20140309,2012,세포학,2006,"Cooper, Geoffrey M",월드사이언스,574.87 C776c3K전
3325,AJ1110981,약학전공,20141008,2012,세포학,2006,"Cooper, Geoffrey M",월드사이언스,574.87 C776c3K전
3327,AJ1111015,약학전공,20141007,2012,세포학,2006,"Cooper, Geoffrey M",월드사이언스,574.87 C776c3K전
3396,AJ1111012,약학전공,20141017,2012,생화학,2002,"Nelson, David L",서울외국서적,574.192 N425lK김
3397,AJ1111015,약학전공,20141007,2012,(레닌저) 생화학,2006,"Nelson, David L",월드사이언스,574.192 N425L4K백
3398,AJ1105726,약학전공,20140311,2009,(레닌저) 생화학,2006,"Nelson, David L",월드사이언스,574.192 N425L4K백
3399,AJ1110998,약학전공,20141211,2012,(레닌저) 생화학,2006,"Nelson, David L",월드사이언스,574.192 N425L4K백
3402,AJ1111012,약학전공,20141213,2012,(레닌저) 생화학,2006,"Nelson, David L",월드사이언스,574.192 N425L4K백
3404,AJ1108577,약학전공,20131205,2011,(레닌저) 생화학,2006,"Nelson, David L",월드사이언스,574.192 N425L4K백
3536,AJ1106822,약학전공,20120321,2010,분자 생물학 실험서,2008,김영희,월드사이언스,572.8072 김64분
3542,AJ1108576,약학전공,20130403,2011,분자생물학,2013,"Weaver, Robert Franklin",라이프사이언스,572.8 W363m5K최
3550,AJ1110981,약학전공,20140305,2012,분자생물학,2008,"Weaver, Robert Franklin",라이프사이언스,572.8 W363m4K최
3557,AJ1106822,약학전공,20120309,2010,분자생물학,2008,"Weaver, Robert Franklin",라이프사이언스,572.8 W363m4K최
3577,AJ1111000,약학전공,20141008,2012,(레닌저) 생화학,2010,"Nelson, David L",월드사이언스,572 N425L5K백
3579,AJ1110995,약학전공,20140915,2012,(레닌저) 생화학,2010,"Nelson, David L",월드사이언스,572 N425L5K백
3580,AJ1110979,약학전공,20140404,2012,(레닌저) 생화학,2010,"Nelson, David L",월드사이언스,572 N425L5K백
3581,AJ1109571,약학전공,20140530,2011,(레닌저) 생화학,2010,"Nelson, David L",월드사이언스,572 N425L5K백
3583,AJ1110983,약학전공,20141127,2012,(레닌저) 생화학,2010,"Nelson, David L",월드사이언스,572 N425L5K백
3588,AJ1108557,약학전공,20131023,2011,(레닌저) 생화학,2010,"Nelson, David L",월드사이언스,572 N425L5K백
3595,AJ1108576,약학전공,20130703,2011,(최신) 생화학,2009,"McKee, Trudy",교보문고,572 M478b4K박
3692,AJ1106827,약학전공,20131227,2010,생명과학,2008,"Campbell, Neil, A. 1946-",바이오사이언스,570 C189b8K전
3949,AJ1110981,약학전공,20140605,2012,(맥머리의) 유기화학,2012,"McMurry, John",사이플러스,547 M478o8K화
3960,AJ1106827,약학전공,20131213,2010,유기화학,2008,"McMurry, John",사이플러스,547 M478o7K대
3963,AJ1106833,약학전공,20120420,2010,유기화학,2008,"McMurry, John",사이플러스,547 M478o7K대
3974,AJ1106822,약학전공,20120309,2010,Organic chemistry,2008,"McMurry, John",Thomson,547 M168o7
3975,AJ1106039,약학전공,20110311,2009,Organic chemistry,2004,"McMurry, John",Brooks/Cole,547 M168o6
4092,AJ1108576,약학전공,20130515,2011,기체·액체 크로마토그래피 및 질량 분석학,2007,김택제,자유아카데미,543.8 김883기
4098,AJ1106047,약학전공,20110331,2009,기체·액체 크로마토그래피 및 질량 분석학,2007,김택제,자유아카데미,543.8 김883기
4352,AJ1106047,약학전공,20110317,2009,일반화학실험,2009,대구대학교. 화학·응용화학과,녹문당,542 대16일
4561,AJ1106827,약학전공,20131213,2010,(줌달의) 일반화학,2010,"Zumdahl, Steven S",사이플러스,540 Z94c8K화
5062,AJ1111000,약학전공,20141214,2012,통계학,2008,김진경,자유아카데미,519.5 통14김개2008
5067,AJ1111032,약학전공,20141104,2012,현대통계학,2004,유지성,博英社,519.5 유78현중
5078,AJ1110981,약학전공,20141022,2012,통계학,2010,류근관,法文社,519.5 류17통2
5080,AJ1108565,약학전공,20131112,2011,통계학,2010,류근관,法文社,519.5 류17통2
5098,AJ1108565,약학전공,20131010,2011,수리통계학,2008,김홍준,시그마프레스,519.5 김95수수
5111,AJ1108551,약학전공,20131112,2011,(이공학도를 위한) 확률 및 통계학,2006,김봉선,피어슨에듀케이션코리아,519.5 P962r8K김8
6048,AJ1108557,약학전공,20141224,2011,나는 세계일주로 경제를 배웠다,2011,"Woodman, Conor",웅진씽크빅,338.092 W892aK홍
6537,AJ1106857,약학전공,20120910,2010,닥치고 정치,2011,김어준,푸른숲,320.9519 김64닥
6687,AJ1105725,약학전공,20140407,2009,내가 알고 있는걸 당신도 알게 된다면,2012,"Pillemer, Karl A",토네이도미디어그룹,305.260973 P641tK박
6697,AJ1108575,약학전공,20130729,2011,내가 알고 있는걸 당신도 알게 된다면,2012,"Pillemer, Karl A",토네이도미디어그룹,305.260973 P641tK박
6733,AJ1105725,약학전공,20140421,2009,총 균 쇠,2006,"Diamond, Jared M",문학사상사,303.4 D537gK김2
6806,AJ1106826,약학전공,20140303,2010,눈치 보는 나 착각하는 너,2013,박진영,시공사,302 박78눈
7006,AJ1110979,약학전공,20140902,2012,정의란 무엇인가,2010,"Sandel, Michael J",김영사,172.2 S214jK이
7007,AJ1105725,약학전공,20140331,2009,정의란 무엇인가,2010,"Sandel, Michael J",김영사,172.2 S214jK이
7024,AJ1106857,약학전공,20120710,2010,정의란 무엇인가,2010,"Sandel, Michael J",김영사,172.2 S214jK이
7456,AJ1110981,약학전공,20140804,2012,죽음이란 무엇인가,2012,"Kagan, Shelly",웅진씽크빅,128.5 K11dK박
8235,AJ1106826,약학전공,20140904,2010,지금 시작하는 인문학,2012,주현성,더좋은책,001.3 주94지
